"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ira-metz.gouv.fr/54.36.91.62","443","INFO","HTTP","",""
"pre_128cipher","ira-metz.gouv.fr/54.36.91.62","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ira-metz.gouv.fr/54.36.91.62","443","OK","not offered","",""
"SSLv3","ira-metz.gouv.fr/54.36.91.62","443","OK","not offered","",""
"TLS1","ira-metz.gouv.fr/54.36.91.62","443","INFO","not offered","",""
"TLS1_1","ira-metz.gouv.fr/54.36.91.62","443","INFO","not offered","",""
"TLS1_2","ira-metz.gouv.fr/54.36.91.62","443","OK","offered","",""
"TLS1_3","ira-metz.gouv.fr/54.36.91.62","443","OK","offered with final","",""
"ALPN_HTTP2","ira-metz.gouv.fr/54.36.91.62","443","OK","h2","",""
"cipherlist_NULL","ira-metz.gouv.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ira-metz.gouv.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ira-metz.gouv.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ira-metz.gouv.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ira-metz.gouv.fr/54.36.91.62","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ira-metz.gouv.fr/54.36.91.62","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","ira-metz.gouv.fr/54.36.91.62","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ira-metz.gouv.fr/54.36.91.62","443","OK","offered","",""
"cipher_order-tls1_2","ira-metz.gouv.fr/54.36.91.62","443","OK","server","",""
"cipherorder_TLSv1_2","ira-metz.gouv.fr/54.36.91.62","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","ira-metz.gouv.fr/54.36.91.62","443","OK","server","",""
"FS","ira-metz.gouv.fr/54.36.91.62","443","OK","offered","",""
"FS_ciphers","ira-metz.gouv.fr/54.36.91.62","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","ira-metz.gouv.fr/54.36.91.62","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","ira-metz.gouv.fr/54.36.91.62","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","ira-metz.gouv.fr/54.36.91.62","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ira-metz.gouv.fr/54.36.91.62","443","INFO","yes","",""
"sessionresumption_ticket","ira-metz.gouv.fr/54.36.91.62","443","INFO","not supported","",""
"sessionresumption_ID","ira-metz.gouv.fr/54.36.91.62","443","INFO","not supported","",""
"TLS_timestamp","ira-metz.gouv.fr/54.36.91.62","443","INFO","random","",""
"certificate_compression","ira-metz.gouv.fr/54.36.91.62","443","INFO","none","",""
"clientAuth","ira-metz.gouv.fr/54.36.91.62","443","INFO","none","",""
"cert_numbers","ira-metz.gouv.fr/54.36.91.62","443","INFO","1","",""
"cert_signatureAlgorithm","ira-metz.gouv.fr/54.36.91.62","443","OK","SHA256 with RSA","",""
"cert_keySize","ira-metz.gouv.fr/54.36.91.62","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ira-metz.gouv.fr/54.36.91.62","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ira-metz.gouv.fr/54.36.91.62","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","ira-metz.gouv.fr/54.36.91.62","443","INFO","038FD71C4EE1BC064C09F2421DA54C962623","",""
"cert_serialNumberLen","ira-metz.gouv.fr/54.36.91.62","443","INFO","18","",""
"cert_fingerprintSHA1","ira-metz.gouv.fr/54.36.91.62","443","INFO","70981C68318680FADD312CAA6BB2FEF266B0C8D6","",""
"cert_fingerprintSHA256","ira-metz.gouv.fr/54.36.91.62","443","INFO","8EAF7E80B17A86E97954DFBBE8730CBD40D9B345F45AC516633D04AD98111183","",""
"cert","ira-metz.gouv.fr/54.36.91.62","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFNTCCBB2gAwIBAgISA4/XHE7hvAZMCfJCHaVMliYjMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjQwOTIzMTkxMzAwWhcNMjQxMjIyMTkxMjU5WjAbMRkwFwYDVQQDExBpcmEtbWV0ei5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA4zdQ0tfmD6g4hSvfYVFRaWY3Zm0kCFFSLbTgSA2bHI8fnftrhZRmH5vWFiwS2iHA4xgaHhsDJ8BS02et/nMumB5j0/UVd6/jzGaqM8nmrLsKSgdJmpKqX92iI6xgXRsI73mF7D5irypDqrCCKhPIZ2yhPbA6rgwTGg+SNwN5fEK0kBeUOav1Dvuwzi6vRj0y8AidP2n12UZRgnx4gfUMwZ49Lq/177J+7+hhRB/Zr6ziLtHNhS6ekZ+v59houF1lr7bV5+g1CVZRy+ITWXlAcor4EV6RMsO1PdBfx24dqLDES5jl46cn0jvtXfADjDYLrpse7tPDMeC9PWBZ7MOVvQIDAQABo4ICWTCCAlUwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQfyG8X/aCmC4emmScIKdEkGF5qSjAfBgNVHSMEGDAWgBTFz0ak6vTDwHpslcQtsF6SLybjuTBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTEuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTEuaS5sZW5jci5vcmcvMGEGA1UdEQRaMFiCFGRldi5pcmEtbWV0ei5nb3V2LmZyghBpcmEtbWV0ei5nb3V2LmZyghh3d3cuZGV2LmlyYS1tZXR6LmdvdXYuZnKCFHd3dy5pcmEtbWV0ei5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHYASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGSIIK4wQAABAMARzBFAiEA9gIb8vlmSaNaMLroMpq2Q1R6jFJu1AI0SZojEct7bdMCIBHOu8tzYb99lQRbC7QQRvm1gh0ULFT50j5nxPPlRmKxAHUA3+FW66oFr7WcD4ZxjajAMk6uVtlup/WlagHRwTu+UlwAAAGSIIK5VAAABAMARjBEAiA/zKyrwD8Flb+zwsV61fOVlnd67jhHf8/jm5vnaeuSqgIgbKvMCPECkjNT6IPZ6uHN708C6bAkfCPtqyzdqdRAJ+8wDQYJKoZIhvcNAQELBQADggEBABAbYJI/R2zolXqB55zTNka3oODMmxrRx22vGSqQ5JF5M3zZgMZuLSYcYi0DRrEmYXgBLizvDtTGYpY0TaWd39Y4g3NK6OH4f9ELBTYmSE3nwXnjckJRWS0NIHLj0fhEtA4c2+ThUHRx0IuKAlvhfJlc0xJJetyfMR6qSpnVjW2Emruxqt+2K/Z7t0mKbttMRzQvhKN+pDNwjCRFOzZVOebfzIzdnChudo4u8Cn58iJ1VNts4lNduewpWBg5dUKH0iKz6/7Piq6A/vNZQXs/oOoPUtPhk0Lx+I6PD6DGjQ2/VS54ioK/fspVIHKUQK2GY21wzgq0Q3DB7izNOu14bXY=\n-----END CERTIFICATE-----","",""
"cert_commonName","ira-metz.gouv.fr/54.36.91.62","443","OK","ira-metz.gouv.fr","",""
"cert_commonName_wo_SNI","ira-metz.gouv.fr/54.36.91.62","443","INFO","cluster027.hosting.ovh.net","",""
"cert_subjectAltName","ira-metz.gouv.fr/54.36.91.62","443","INFO","dev.ira-metz.gouv.fr ira-metz.gouv.fr www.dev.ira-metz.gouv.fr www.ira-metz.gouv.fr","",""
"cert_trust","ira-metz.gouv.fr/54.36.91.62","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","ira-metz.gouv.fr/54.36.91.62","443","OK","passed.","",""
"cert_certificatePolicies_EV","ira-metz.gouv.fr/54.36.91.62","443","INFO","no","",""
"cert_expirationStatus","ira-metz.gouv.fr/54.36.91.62","443","OK","69 >= 30 days","",""
"cert_notBefore","ira-metz.gouv.fr/54.36.91.62","443","INFO","2024-09-23 19:13","",""
"cert_notAfter","ira-metz.gouv.fr/54.36.91.62","443","OK","2024-12-22 19:12","",""
