"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","HTTP","",""
"pre_128cipher","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","No 128 cipher limit bug","",""
"SSLv2","kiosque-sig.gouv.fr/217.70.184.55","443","OK","not offered","",""
"SSLv3","kiosque-sig.gouv.fr/217.70.184.55","443","OK","not offered","",""
"TLS1","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_1","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"TLS1_2","kiosque-sig.gouv.fr/217.70.184.55","443","OK","offered","",""
"TLS1_3","kiosque-sig.gouv.fr/217.70.184.55","443","OK","offered with final","",""
"ALPN","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_NULL","kiosque-sig.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","kiosque-sig.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","kiosque-sig.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_LOW","kiosque-sig.gouv.fr/217.70.184.55","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","kiosque-sig.gouv.fr/217.70.184.55","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","not offered","",""
"cipherlist_STRONG_FS","kiosque-sig.gouv.fr/217.70.184.55","443","OK","offered","",""
"cipher_order-tls1_2","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","kiosque-sig.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","kiosque-sig.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 256   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc02b","kiosque-sig.gouv.fr/217.70.184.55","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc009","kiosque-sig.gouv.fr/217.70.184.55","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 256   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"supportedciphers_TLSv1_2","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA","",""
"cipher_order","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","NOT a cipher order configured","",""
"FS","kiosque-sig.gouv.fr/217.70.184.55","443","OK","offered","",""
"FS_ciphers","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","kiosque-sig.gouv.fr/217.70.184.55","443","OK","prime256v1","",""
"TLS_extensions","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'key share/#51' 'supported versions/#43' 'extended master secret/#23'","",""
"TLS_session_ticket","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","yes","",""
"sessionresumption_ticket","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","supported","",""
"sessionresumption_ID","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","supported","",""
"TLS_timestamp","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","random","",""
"certificate_compression","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","none","",""
"clientAuth","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","none","",""
"cert_numbers","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","1","",""
"cert_signatureAlgorithm","kiosque-sig.gouv.fr/217.70.184.55","443","OK","SHA256 with RSA","",""
"cert_keySize","kiosque-sig.gouv.fr/217.70.184.55","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","Digital Signature","",""
"cert_extKeyUsage","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","D1D6471A70B0625724FA8449F832CA87","",""
"cert_serialNumberLen","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","16","",""
"cert_fingerprintSHA1","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","BCD285666D23F5F220FFE9201D8D87C0761D40E4","",""
"cert_fingerprintSHA256","kiosque-sig.gouv.fr/217.70.184.55","443","INFO","F604F098BE9878BDFC13F70484FCD9BF8D319AD0FD4BA5E862510C28EF5DDAE6","",""
