"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","loir-et-cher.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","loir-et-cher.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","loir-et-cher.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","loir-et-cher.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","loir-et-cher.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","loir-et-cher.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","loir-et-cher.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","loir-et-cher.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","loir-et-cher.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","loir-et-cher.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","loir-et-cher.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","loir-et-cher.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","loir-et-cher.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","loir-et-cher.gouv.fr/77.159.252.140","443","INFO","not supported","",""
