"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","HTTP","",""
"pre_128cipher","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","No 128 cipher limit bug","",""
"SSLv2","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","",""
"SSLv3","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","",""
"TLS1","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","",""
"TLS1_1","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","",""
"TLS1_2","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","offered","",""
"TLS1_3","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","",""
"cipherlist_NULL","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","","CWE-327"
"cipherlist_LOW","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","not offered","",""
"cipherlist_STRONG_FS","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","offered","",""
"cipher_order-tls1_2","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","NOT a cipher order configured","",""
"FS","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","offered","",""
"FS_ciphers","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15'","",""
"TLS_session_ticket","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","yes","",""
"sessionresumption_ticket","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","supported","",""
"sessionresumption_ID","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","supported","",""
"TLS_timestamp","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","random","",""
"cert_compression","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","N/A","",""
"clientAuth","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","none","",""
"cert_numbers","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","1","",""
"cert_signatureAlgorithm","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","OK","SHA256 with RSA","",""
"cert_keySize","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","F7BA11501E11EE1FD457C0B7D8C12313","",""
"cert_serialNumberLen","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","16","",""
"cert_fingerprintSHA1","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","45E4BD902B118813CBE8C257EE34A0933DA8AB9D","",""
"cert_fingerprintSHA256","m.base-donnees-publique.medicaments.gouv.fr/46.19.124.237","443","INFO","9C90CEE967669921AEDAC21AF362E44B77920AF4450E3055007595EFD7E1F38F","",""
