"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","premar-atlantique.gouv.fr/87.252.1.29","443","INFO","HTTP","",""
"pre_128cipher","premar-atlantique.gouv.fr/87.252.1.29","443","INFO","No 128 cipher limit bug","",""
"SSLv2","premar-atlantique.gouv.fr/87.252.1.29","443","OK","not offered","",""
"SSLv3","premar-atlantique.gouv.fr/87.252.1.29","443","OK","not offered","",""
"TLS1","premar-atlantique.gouv.fr/87.252.1.29","443","INFO","not offered","",""
"TLS1_1","premar-atlantique.gouv.fr/87.252.1.29","443","INFO","not offered","",""
"TLS1_2","premar-atlantique.gouv.fr/87.252.1.29","443","OK","offered","",""
"TLS1_3","premar-atlantique.gouv.fr/87.252.1.29","443","OK","offered with final","",""
"ALPN_HTTP2","premar-atlantique.gouv.fr/87.252.1.29","443","OK","h2","",""
"ALPN","premar-atlantique.gouv.fr/87.252.1.29","443","INFO","http/1.1","",""
"cipherlist_NULL","premar-atlantique.gouv.fr/87.252.1.29","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","premar-atlantique.gouv.fr/87.252.1.29","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","premar-atlantique.gouv.fr/87.252.1.29","443","OK","not offered","","CWE-327"
"cipherlist_LOW","premar-atlantique.gouv.fr/87.252.1.29","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","premar-atlantique.gouv.fr/87.252.1.29","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","premar-atlantique.gouv.fr/87.252.1.29","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","premar-atlantique.gouv.fr/87.252.1.29","443","OK","offered","",""
"cipherlist_STRONG_FS","premar-atlantique.gouv.fr/87.252.1.29","443","OK","offered","",""
"cipher_order-tls1_2","premar-atlantique.gouv.fr/87.252.1.29","443","OK","server","",""
"cipherorder_TLSv1_2","premar-atlantique.gouv.fr/87.252.1.29","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","premar-atlantique.gouv.fr/87.252.1.29","443","OK","server","",""
"FS","premar-atlantique.gouv.fr/87.252.1.29","443","OK","offered","",""
"FS_ciphers","premar-atlantique.gouv.fr/87.252.1.29","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","premar-atlantique.gouv.fr/87.252.1.29","443","OK","prime256v1 secp384r1 secp521r1","",""
